legislator,volunteer,date,typeOfContact,notes,support,state
Hayden,Lisa Sobomehin and Mindy Lowden,11/14/2017,Met Legislator,"The was a meeting scheduled just the day before, squeezed inbetween other meetings. The staffer didn't give us much hope, but the Represehtative showed up and welcomed us in. He was in agreement quickly about the problem, had no real questions about the process. Said he would sponsor, but he had two health care bills this session. It is his main committee. We left him with the packet and promised to stay in touch. ",1 - Supportive,OR
Teresa Alonso Leon,Mindy Lowden ,11/14/2017,Met with staff,"Lisa S. and I met with the Chief of Staff. First meeting with Wolf PAC, so Lisa and I just went over the basics (who we are, the problem, the solution, how Rep. Alonso Leon can help, etc). She didn't offer much in regards to where Rep. Alonso Leon stands on the issue. It was mostly just a meet and greet. We gave her a packet the day before when we scheduled the meeting. We said we'd email her the next week to follow up. Mindy sent an email on 11/15 to thank her for taking the time to meet with us, especially on such short notice.",2 - Not Confirmed,OR
Pam Marsh,Phil M Guidotti,1/7/2017,Met Legislator,"From Laurie Kurutz:

Pam's questions:
1. When was the last convention that produced an amendment?
2. How will it work with delegates at the convention? When discussions and questions come up during the convention, how would the delegates know what we want them to do? How would we communicate with them?

Pam came across as professional, circumspect and diplomatic in her communication. She folded into her comments a bi-partisan point of view that acknowledged what Wolfpac might consider ""the other side."" 

I noticed that she became a little impatient, or ""squirmy"" in her chair, when Lara turned the conversation to waving the flag for Bernie Sanders, denouncing the media and calling Trump a liar. I sensed that we shouldn't make assumptions about people's politics just because they're Democrats. Perhaps we, as a group, could discuss how to create a personal relationship with folks we're lobbying, while staying focused on Wolfpac's task. It's a tricky balance. 

I think that while Pam has Democratic values, she will be working very much in a bi-partisan way to move those values forward. She said she would ""look at"" our proposal. We said we would get the answers to her questions, and look forward to seeing her in Salem on Lobbying Days. ",,OR
Pam Marsh,Phil Guidotti,1/7/2017,Met Legislator,"Lara Scanlon's thoughts:

I think the meeting was a great success with Pam- her parting words were that we were very persuasive, and that she was very drawn to this cause, would read all the materials thoughtfully, and was interested in the answers to her questions and in seeing us during session.

Pam listened very thoughtfully and right from the start had very in depth and specific questions. She was very clear that she agreed that money influencing politics was an issue, but also brought up a very interesting issue that on the state level in OR, congress members had unbelievably small budgets to run their offices, which meant that many ended up using their campaign funds to supplement these funds in order have office spaces in their districts and pay their staff members. When I brought up the point that we have greater access to our state congress people that our federal congress members, she did take some issue with that, saying that it was not hard to get a meeting with Senators Wyden and Merkley (and indeed, I have sat in a room with both of them!)- and her assessment in part was that Oregon may be an unusual state in that regard, and that we are smaller and tighter knit than other states.

Pam was very interested in the bill and the idea of a convention leading the way to lasting chance in the way money plays a role in politics. Her greatest concern was the idea of a runaway convention (which we explained was not possible given the explicit language of the bill),

but her greater concern was the idea of ""opening up the Constitution in this political climate"" (these were her words).
It was in this context that I explained that what I found so interesting about this political climate was that in poll after poll 90 percent of Americans want money out of politics. Furthermore, I explained that what I found so positive was the fact that many Republicans wanted to vote for Bernie. I explained that over and over in southern OR, I experienced people coming up to me when I was wearing a Bernie shirt, and telling me that even though they were life long Republicans, they would to vote for Bernie over Trump (this was obviously before the primaries). 

Again, in this context of Pam specifically asking, and explaining that she was concerned about the possible outcome of a convention during this political climate, and the possibility of conservatives shaping this conversation in a way that would not bring the change we were hoping for- I explained that I thought a citizen led delegation during a convention is very hopeful given that Bernie was speaking an economic truth to the population that garnered incredible bi-partisan support. Those same people who ultimately voted for Trump, are many of the people who would gladly support free and fair elections, but I explained that many of them voted for Trump because he was being dishonest about his actual economic policies, how they will effect working people, and his ties to corporate money, which will influence his politics greatly.

At the start of the meeting Pam had said she needed to leave at around 2:50, though she continued to ask very in depth and complicated questions about both the bill, and the influence of money and media in politics. Though clearly Laurie had a different read, I do not think Pam was in any way uncomfortable with this in depth discussion, rather, I think she was checking her phone to see what time it was and recognizing that she needed to go, even though she was continuing to ask questions.

Overall, I think she is an incredibly thoughtful, intelligent, nuanced Representative. I really appreciated her take and explanation of how money in politics on a local level is necessary to a degree, though she was very clear that she was unwilling to ask for any money from corporations in whose mission she was not aligned with (she specifically mentioned the timber industry), but it is clear that congress people do need to raise a certain amount of money to be able to reach constituents. ",2 - Not Confirmed,OR
Dan Rayfield,Mindy Lowden,11/16/2017,Met Legislator,"Mindy Lowden attended. Mike Duncan, constituent and Wolf PAC volunteer was planning to atttend via skype, but ended up not being able to. Justin Brice, constituent, was going to attend the meeting. He called in instead and spoke to Rep Rayfield this morning to express how important this issue is to him, to thank him for his support of this legislation, and to urge his continued support for it. Started meeting with small talk about Albany/Corvallis Area and various topics. Foor example, he was curious how people in Albany find out about groups like Wolf PAC, He is still behind the bill and thinks the convention is something that needs to happen. He listed various campaign finance reform ideas (caps on expenditures, public financing/donor matching, etc.) I told him those are perfect examples of what could be discussed at a convention and that he'd be a great delegate. He talked about other election reform as going hand in had with campaign finance reform (rank choice voting, etc.). Campaign finance reform is something he's passionate about. He talked about Wolf PAC's past actions that have caused some legisltators to distance themselves from the group, but that the bigger hurdle is the fear of an article v convention with the current partisan climate, trump, etc. will lead to a ""runaway."" I got confirmation from him that he believes the safeguards are sufficient to ensure this would not happen (he thinks the ratification threshold alone is enough). He said he 2018 will probably not happen, but he's looking to 2019 to carry the bill. He said he's thinking it would/could be himself, Kenny Guyer, and Nosse. We talked about the support level we have from a number of reps. I mentioned specifically that Rep. Evans is a big supporter. I let him know about the additional clause that will probably be added to the language of the bill, but added that it's not set in stone/possible there may be slight change in the wording. He seemed fine with it and requested that a copy be emailed to Tony, his aide. Ended with him reaffirming his support for the article v process and it being an important part of the way we tackle the problem. We had a good conversation for sure. ",1 - Supportive,OR
Sollman,Lisa Sobomehin,11/16/2017,Received email reply,Rep Sollman replied to my email. Warm greetings returned. Said she was glad we were working on getting a presentation for the Wash Col Dems. Restated the importance of educating peiople about the safety of the process. ,1 - Supportive,OR
Sollman,Lisa Sobomehin,11/17/2017,Emailed legislator,"Replied to Sollmans email. Told her I was hoping to meet someone at the DPO party on Saturday from Mult Co Dems to talk about presenting.

And told her I was looking forward to hearing what she had decided about which two bills she will introduce",,OR
Sollman,Lisa Sobomehin,11/17/2017,Emailed legislator,Sent a PS email letting her know we are making strides in our relationship building and potential partnership with Kotek,,OR
Sollman,Lisa Sobomehin,11/18/2017,Left voicemail,Sollman replied: Good to hear! Keep it up!,1 - Supportive,OR
Kotek,Lisa Sobomehin,11/18/2017,Met Legislator,At the DPO Holiday party for Mult Co was in close proximity with Speaker Kotek two times and had warm and friendly acknowledgements in passing,,OR
Piluso,Lisa Sobomehin,11/18/2017,Met Legislator,"At DPO Holiday party went up to Rep Piluso to greet her and thank her for her support. She said ""We'll get it done... you'll get it done"" I told her in 2019 ! And we would be in touch. She thanked me for coming to see her. ",1 - Supportive,OR
Jeff Kruse,Ryan,1/24/2017,Phone call with Legislator,"I had a brief phone conversation with the senator. After a few minutes of cordial conversation I asked if it would be possible to schedule a meeting for February. He told he's not allowed to schedule meetings himself but if I contacted his chief of staff (Lexi), he would be more than happy to meet with us. I sent Lexi an email and am waiting on her reply. If I don't hear back by Friday, I'll followup. ",,OR
Kruse,Ryan Bellinson,2/4/2017,Emailed Staffer,"Second email to Lexi, Senator Kruse's chief of staff, to attempt to schedule a meeting with the senator or staff for Tuesday February 21.",,OR
Senator Rosenbaum ,Mike M,9/3/2016,Emailed legislator,Emailed and waiting for a reply. ,N/A,OR
Rod Monroe,Chris Chaplin,8/25/2016,Met Legislator,"I attended this meeting alone, with Sen. Monroe and his wife/secretary Billie. He said we still have his support, and that he would gladly be a sponsor, but that being a primary sponsor was a ""different deal."" He also expressed concern regarding an unlimited convention; I assured him it was Article V/limited, he said ""because you know I taught constitutional history for __ years"" so it wasn't clear if I assuaged his concerns. We agreed to keep in touch about potential primary sponsorship.",1 - Supportive,OR
Rod Monroe,Chris Chaplin,8/29/2016,Phone call with staff,"I called his Portland number this morning to follow up and also let them know I'd misspoken on Thursday, meant to ask for him to introduce, not just be primary sponsor. His wife said ""yes I think he would do that"" and when I asked later to confirm about introducing she said ""yes he's sitting here nodding his head."" I thanked her and told them I'd follow up/be back in touch in the next week or so. (Also, I had left a number of materials with them at my Aug 25 meeting, including draft of legislation, sheet listing responses to Article V-related concerns, a personal letter, and other items I don't recall now.)",1 - Supportive,OR
Rod Monroe,Chris Chaplin,9/6/2016,Emailed legislator,"Wrote thanking Monroe's for their support, including small addendum to draft legislation, attempting to confirm that they will introduce/see if they had other questions before introducing. ",N/A,OR
Rod Monroe,Chris Chaplin,9/19/2016,Phone call with staff,"Spoke with Sen. Monroe's wife Billie again to follow up about introducing, she said they were still ""on board with introducing"" our legislation. I told them about a small addendum to the language and said I'd email it to them, asked if they'd confirm that they received it. I sent it later this day and heard back that they got it. She also said in our phone conversation that she'd be submitting it to the LC by the Monday deadline.",1 - Supportive,OR
Mark Hass,Louis Lamp,9/22/2016,Left voicemail,"Thank-you call for supporting the Free and Fair Elections resolution, and left my contact information.",N/A,OR
Sara Gelser,Luka Stanton,11/18/2016,Emailed legislator,I left an email and a VM for the Senator. She has yet to respond.,2 - Not Confirmed,OR
Alan DeBoer,Laurie Kurutz,11/27/2016,Mailed letter to legislator,"Text of my letter:



Senator Alan DeBoer
PO Box 249
Ashland OR 97520

November 27, 2016

RE: Free & Fair Elections Resolution Joint Memorial

Dear Senator DeBoer,

I am a voting constituent in your district and I’m very concerned about how special interest money (ie. unions, out-of-state donations) distorts our electoral process. I believe these powerful entities drown out the voices of America’s citizens, and thus, cripple our democratic process.

Although we may all come from varying political backgrounds, I believe we can come together to change our nation’s political process for the better. In June of 2015, a Wall Street Journal/NBC News poll showed the highest concern for voters was the excessive influence of money in the election process. People of all political leanings reported major concern for the way our elections are funded and run.1 This clearly shows support for a change in our campaign finance system.

America is founded on self-government, where citizens choose our elected representative, write our laws and decide the direction of our nation. America is founded on freedom. Freedom from corrupting influences in government is an American value.

In this democracy, we have two ways to solve this corrupting problem: one method is to work through Congress, and the other method is to work through the States to call for a Constitutional Amendment. As members in Congress are pressured to spend huge amounts of time and energy cold calling for election funds 2, I'm much more confident that we can effect change by working with my State Legislators, like you.

I’m asking you to please support and co-sponsor the Free & Fair Elections Joint Memorial when it comes before you in the next legislative session.

Respectfully,



Laurie Kurutz
73 Garfield St # 5
Ashland OR 97520

(Citation for WSJ/NBC News poll: http://blogs.wsj.com/washwire/2015/06/21/influence-of-money-in-politics-a-top-concern-for-voters/)

(Citation for Congress spending tons of time fundraising: http://www.cbsnews.com/news/60-minutes-are-members-of-congress-becoming-telemarketers/)",N/A,OR
Sara Gelser,Brandon Gigous,11/26/2016,Emailed legislator,"Emailed Gelser voicing my support for Free and Fair Elections Resolution. She said she doesn't expect she'll be on a committee that will have our bill assigned to it, but will consider it should she have the opportunity to vote on the issue.

So, not a yes or a no for support.",2 - Not Confirmed,OR
Girod,Josh Baumgartner,11/30/2016,Phone call with staff,"I called Senator Girod today at about 3 and spoke with Lori on his capitol line (503) 986-1709. She said that as of now, they were not aware of any plans related to campaign finance reform or such coming up, and asked briefly about our memorial. She said that he has a family medical situation ongoing so time is very tight the next two weeks, but she promised to schedule a meeting as soon as possible. I sent an email follow up for her as a written record of the conversation.",2 - Not Confirmed,OR
Rod Monroe,Chris Chaplin,11/28/2016,Phone call with staff,Chatted with his wife/secretary Billie about when I could pick up the bill back.,1 - Supportive,OR
Rod Monroe,Chris Chaplin,11/29/2016,Met with staff,Picked up bill back/draft legislation from his wife/secretary Billie at their home office in SE Portland,1 - Supportive,OR
Arnie Roblan,Paula Ellis,12/5/2016,Left voicemail,Left an Email now waiting to hear back from office.,N/A,OR
Floyd Prozanski,Paul Slaughterbeck,12/2/2016,Phone call with Legislator,"I spoke with him and he, after some resignation, agreed to meet with me before January. He was resistant because he said he had already met with a Wolf-PAC representative but I reminded him that it had been a few years and asked that we have a chance to meet again. He agreed and I was asked to call his Salem office and set up a meeting with Kevin, his assistant. Kevin asked me to email him instead because that would be easier. He would get together with Sen Prozanski and get back to me. I emailed him and haven't heard back yet. Add far as his level of support I couldn't say. I believe he is very supportive of the ends, but would guess he is skeptical of the means.",2 - Not Confirmed,OR
Kim Thatcher,Jim Athens,6/14/2016,Met Legislator,"Only the two of us were in the meeting and we talked for about half an hour. Her main concern seemed to be that a constitutional convention would not be ""limited"". We both agreed that big money in government was not a good thing.",2 - Not Confirmed,OR
Kim Thatcher,Jim Athens,9/26/2016,Emailed legislator,"I tried to set another meeting and found out she was in a bike accident and recovering from that. This is the response I received in an email. ""I would need to see the proposal. There have been similar attempts in Oregon but it seems like it was rather lopsided in how ""big money"" would be curtailed. Big money that might favor conservative causes would be banned and big money that may favor progressive causes would be given a pass because the money has been skimmed from the pockets of employees by a union instead of coming out of the profits of a corporation. I just need to see it."" ",3 - Unsupportive,OR
Chuck Riley,Jo6,12/2/2016,Phone call with staff,"Spoke with Melissa who said that earlier today she had listened to my voice message from Friday requesting a meeting with Sen. Riley, and that Linda Ray-Keeney is the senator's Chief of Staff who handles his calendar but is out of the office until tomorrow, and that I should expect a call from Linda either Tuesday or Wednesday.",,OR
Brian Boquist,Ryan Bellinson,12/6/2016,Emailed Legislator/Left Voicemail,"Called the Senator and left a voicemail. Sent him an email a few hours later. In both forms of contact I thanked the Senators for last year's support of our resolution, let him know about our bill this year, and asked for a meeting during upcoming legislative days. Will call office again on Wednesday if no reply. ",N/A,OR
Senator Anderson,Ryan Bellinson,12/6/2016,Emailed Legislator/Left Voicemail,"Called the Senator and left a voicemail. Sent him an email a few hours later. In both forms of contact I thanked the Senators for last year's support of our resolution, let him know about our bill this year, and asked for a meeting during upcoming legislative days. Will call office again on Wednesday if no reply. ",N/A,OR
Chuck Riley,Jo6,12/6/2016,Emailed legislator,"Requested a meeting.
Senator Riley was a sponsor last year so I'm assuming he will be again.",1 - Supportive,OR
Chuck Riley,Jo6,12/7/2016,Emailed legislator,Email reply from Sen. Riley's chief of staff Linda Ray-Keeney. Sen. Riley couldn't meet until 12/16 in district so meeting scheduled for next Tuesday 12/13 at 11:30 in Salem.,,OR
Kathleen Taylor,Sarah March,12/8/2016,Emailed legislator,I emailed Sen. Taylor to encourage her to support our resolution. I also asked what her feelings are regarding Citizens United. ,2 - Not Confirmed,OR
Dembrow,David Murray,12/10/2016,"Called, Emailed, Called","Hey everyone, just got the hang of using this tracking form.

The Friday before last I called Keny-Guyers office to try to schedule a meeting. Nobody answered so I left a message.

This Tuesday I followed up that voice-mail with an email.

Having yet to receive a response to either I requested a meeting in Salem this-coming Tuesday.

I will try calling again on Monday if I haven't heard back yet.",N/A,OR
Richard Devlin,Jonathan DeBruyn,12/2/2016,Met Legislator,"Met Sen. Devlin with Marcella Martinson, another of his constituents at a Starbucks in Tualatin along with his assistant. I felt like it was very productive overall. Unfortunately I don't think we swayed him all the way to a ""yes."" However, although he was listed as a ""maybe"" on the online spreadsheet, my impression from talking to him is that he was actually more of a hard ""no"" before. I now feel like he is a ""maybe"" going forward, as I think we managed to improve his disposition toward the bill. We explained the misconception about the open vs. closed conventions, and I'm not sure how much he bought it or not, as he didn't really fully respond to that in particular (he just kind of narrowed his eyes and looked thoughtful). But he did repeatedly indicate that he would review the materials, so I think he at least is curious. He has introduced multiple campaign finance bills in the past, and I got the impression that his main problem with supporting the bill is that he gets a lot of people coming to him with their pet solutions for problems like campaign finance reform, and usually they haven't done enough research or really thought it through, and there are often some bigger or more complicated issues at play. He spoke at length about various situations in his experience as a legislator here in Oregon, and I got the impression that he sees himself as a ""details"" guy and that he is hesitant to support something that seems simplistic. But I think our points about the open vs. closed convention landed, and I think the fact that the bill has bipartisan support surprised him. We also emphasized that this bill doesn't actually overthrow Citizens United or anything like that, it simply puts a bunch of elected state officials like Senator Devlin in a room to discuss these very issues and to solve them. In essence we were trying to show him that our bill was the best way to achieve his own goals. I don't know if we really were able to drive that point home as much as I would have liked, but overall I feel like we planted some good seeds. He was friendly and very kind, and very willing to talk at length about his views and his experience. Definitely a positive relationship, I would say.",2 - Not Confirmed,OR
Senator Prozanski,Paul Slaughterbeck,12/12/2017,Met Legislator,"I went to Salem with another constituent to drop in and meet with Senator Prozanski and we caught him for a few minutes prior to his scheduled meetings. This was not the first time he had spoken with Wolf-PAC about the resolution and he reiterated that his main concerns were with the possibility of a convention that veers off course in dangerous ways. I spoke to him about the historical precedent with limited conventions and gave him a copy of the summary of the DOJ report. He also voiced concerns about individual delegates proposing things other than issues dealing with campaign finance and I went over the mandate that they have and how they could and would be recalled and replaced if that happened. Ultimately he wanted links emailed to him that would assuage his fears (Full DOJ report, Bar Association review, etc.) I left him with the Dem packet and told him that we would email him the links.",2 - Not Confirmed,OR
Jackie Winters,Trevor Phillips,12/12/2016,Met with staff,"Dropped off packet. Lyn Horine legislative aide took packet. Probably unable to meet during legislative days, but She was hopeful of scheduling in person meeting prior to Feb.",N/A,OR
Lew Frederick,Lisa Sobomehin,12/12/2016,Left voicemail,I called the number listed for Sen. Fredericks because I know him personally. The answering machine said it is still Chip Shields office so I did not leave a message.,,OR
Lew Fredericks,Lisa Sobomehin,12/12/2016,Emailed legislator,I drafted an email to Sen. Fredericks because I know him personally. The email came back. I don't think he is set up yet. ,,OR
Richard Devlin,Jonathan DeBruyn,12/12/2016,Met with staff,"Talked to Sen. Devlin's assistant in person at his office in the capital. She said that he doesn't have any space to meet with us in the next few days, which is unsurprising. She said that she thinks his views are ""unchanged"" on the bill, which I think means he is the same as he was at the end of our meeting, and he was definitely undecided, so who knows what that all means. She could also have meant that he is unchanged from what he was before our meeting (essentially, opposed), although it's hard to say. His assistant is generally very hard to read, so I think it all amounts to zero new information. She couldn't comment directly on his support or whether he'd vote for it, so for now we'll have to wait until we meet with him again. I think the next step with him is for Marcella and I to meet with him again in a few weeks and bring more information, including the entire DoJ report. He prides himself as a ""details"" guy, and so I think it we come at him with more in-depth arguments, keep the discussion focused directly on the bill instead of letting it wander, and emphasize the increasing support that we are getting for the bill.",2 - Not Confirmed,OR
Roblin,paula ellis,12/12/2016,Phone call with staff,Spoke with an assistant who will discuss a meeting time and place with the Senator and get back to me.,1 - Supportive,OR
Kim Thatcher,Jim Athens,12/12/2016,Met Legislator,"Myself and Jacob met with Senator Thatcher and her policy/media advisor Justin Brecht. Senator Thatcher is still somewhat hesitant about signing on to the bill, but ended by saying that ""if this got legs, she would probably support it. Her reservations were primarily about an amendment that would not be what the intent was, to say that only people were persons and not ""legal entities"". Her other concern was to educate the populous as to what a limited constitutional convention was about and the safeguards that would prevent objectionable legislation from becoming law. It sounded like she would also like to be able to educate the ""naysayers"" who are against any Article V convention.",1 - Supportive,OR
Mark Hass,Jacob Strandlien,12/12/2016,Met Legislator,"He basically said nothing during the entire explanation but when we were done he grabbed the billback and signed on as primary.

The only recommendation he gave for getting Courtney's attention is getting as many cosponsors as possible.",1 - Supportive,OR
Alan DeBoer,Laurie Kurutz,12/12/2016,Emailed legislator,"Here's what I wrote, as per Ryan Bellison's prompt: 


Dear Senator Deboer,

I'm one of your constituents from Ashland, and am contacting you for two reasons:

First, congratulations on your campaign victory. I am hopeful that you'll be our strong representative in the legislature.

Second, I'm a volunteer with Wolf PAC and campaign finance reform is a very important issue to me. I'm so pleased that you have agreed to a sit-down meeting in a month with Derek Scanlon. Rest assured that Derek will represent my voice at that meeting on the serious issues surrounding campaign finance reform. 

I am urging you to consider supporting our resolution. 

Sincerely,

Laurie Kurutz",N/A,OR
Dembrow,"David ""The Disruptor"" Murray",12/12/2016,Scheduled Meeting,"Meeting scheduled for:

Tuesday 12/10/16
11:00 AM

Costello's Travel Cafe
2222 NE Broadway St,
Portland, OR 97232",N/A,OR
Jackie Winters,Jo6 & Chris Chaplin,12/13/2016,Met with staff,"Sen. Winters was on the list of people to set up meetings with today, and we talked with her staff person, Pam, but apparently Sen. Winters has a POC who has contacted her office and will be setting up a meeting with her in January. Pam said that Sen. Winter's had 2 whole weeks blocked off due to ",,OR
Jackie Winters,Jo6 & Chris Chaplin,12/13/2016,Met with staff,"Sen. Winters was on the list of people to set up meetings with today, and we talked with her staff person, Pam, gave her the info packet and explained the bill. Found out from Mindy later that Sen. Winters has a POC who has contacted her office and will be setting up a meeting with her in January. Pam said today that Sen. Winter's had 2 whole weeks blocked off due to scheduling of a prison visit in Texas so we should email Pam with a request for a meeting sometime in January.",,OR
Alan Deboer,Laurie Kurutz,12/13/2016,Left voicemail,"As per Ryan's prompt, I phoned Senator Deboer at (503) 986-1703. The voice mail intro message said it was Sen. Talbot's number, but I left a message anyway hitting the points in Ryan's email to me. ",N/A,OR
Jackie Winters,Chris Chaplin,12/13/2016,Met with staff,"Jo Six and I met with Winters' staffer Pam because Winters' schedule was full. Met for about 5 minutes or less, we did most of Republican intro video, she asked if we were trying to do away with the electoral college as some groups are working for currently, we said no, we've been around a while and are calling for a constitutional amendment to address campaign finance reform/free and fair elections. She looked over our packet, said their afraid of a convention running away from its stated intention, Jo cited our delegate selection and accountability, I cited the DOJ report, she just said okay, she'd look it over, meeting ended fairly abruptly at that point, but we left on good terms. Seems we still have never met with Winters herself.",2 - Not Confirmed,OR
Fred Girod,Chris Chaplin,12/13/2016,Met Legislator,"Josh Baumgartner (constituent) and I met with Girod. VERY skeptical - change since last time seems to be that he went to an ALEC convention where they talked about runaway conventions, ""liberal"" agenda that could result (taking away 2nd amendment, etc). (Also, our Boquist meeting had been rescheduled, so we couldn't cite his support/signing on because he hadn't.) He said ""the NRA is scared to death about this"" and ""all the people in cities are going to want gun control."" Said he agrees money is not speech, is all for campaign finance reform the issue, but not our process, and seems to be focusing his efforts at the state level, saying ""Portland is the problem."" Mentioned ""Tom Steyer coming up here from CA and dumping millions"" into causes he disagrees with. Said in OR, people can't pay for his lunch, but they can write him a $10K check - it's ""jackass backwards."" We mentioned 5 states have already passed, he asked what they were and he said they're all blue. We mentioned the fact that 32 states have Republican legislatures so conservative interests would be represented at a convention, and he said ""yeah but that's a long way away, and a lot can change, especially with Trump coming in."" We didn't have a response to this. When he mentioned ALEC I jokingly said ""well maybe that's the problem"" and he said ""maybe."" Also asked ""what exactly are you proposing to change in the Constitution"" and we said we're not dictating a solution, only calling for a convention/conversation (should've mentioned how other groups are dictating solutions and we're not), but this didn't satisfy him. Josh mentioned 700 applications, 38 states need to ratify. Still skeptical. I asked if there was anything that could sway him and he said ""probably not."" Was a long meeting. Very friendly, said he enjoyed talking about ""intellectual things"" like this. We left on positive terms; he said he'd look over the packet, and we agreed to stay in touch. ",3 - Unsupportive,OR
Laurie Monnes Anderson,Jacob Strandlien,12/14/2016,Met with staff,"Louis Lamp attending. Policy adviser Tom was familiar with the legislation, only concern was whether it had changed. He suggested the senator is very likely to support it, but he hedged a little by mentioning that she is in leadership now and may have to check with the leadership before giving full support. We left a Dem packet and a business card.",1 - Supportive,OR
Sen. Burdick,Jo6 & Chris Chaplin,12/13/2016,Met with staff,"Spoke with Steven and Sen. Burdick's scheduler (whose name I didn't get). Steven was familiar with our bill and the scheduler said due to the holidays and travel, they're not looking that far ahead and recommended emailing a request to the office to set up a meeting. Emailed request 12/14.",N/A,OR
Ferrioli,Jo6,12/13/2016,Met with staff,"Chris Chaplin and I talked with Becky, Sen. Ferrioli's Director of Operations & Scheduler, who recommended emailing our meeting request. Emailed 12/14.",N/A,OR
James Manning,Jacob Strandlien,3/27/2016,Met Legislator,"Date is approximate. Paul Burton also present. This was a chance encounter while Manning was campaigning for HD14. I explained our idea to him, and he had a couple of VERY basic questions suggesting he was not super knowledgeable on the subject. He did seem open to hearing more.",2 - Not Confirmed,OR
Ted Ferrioli,Jo6,12/13/2016,Met with staff,"Chris Chaplin and I spoke with Rebecca, Sen. Ferrioli's Director of Operations & Scheduler, and agreed to email our meeting request. Emailed 12/14.",N/A,OR
Arnie Roblan,paulaEllis,12/14/2016,Phone call with staff,"Made arrangement for a brief meeting with Senator Roblan before a Town Hall in Coos Bay on Jan,17,2017 at 6;45 p.m. ",1 - Supportive,OR
Arnie Roblan,Paula Ellis,12/15/2016,Emailed legislator,"I received a conformation email from the Senators office about the meeting on Jan,17th. I then sent a return conformation email and thanked them. ",,OR
Briab Boquist,Jim Athens,12/15/2016,Met Legislator,"I met with Senator Boquist for a short meeting. He again expressed his support for our effort. He is willing to cosponsor the legislation and asked who is the main sponsor. I told him I did not know, but would get back to him, or have someone get back to him with the answer. The only advise he had for us regarding getting the legislation through the rules committee was regarding Rep.Dan Rayfield. Brian says he is the lead person on the House side and someone that could help us. The subject of Sen. Girod never came up, although I asked him about Senator Thatcher. ",1 - Supportive,OR
Steiner-Hayward,Chris Chaplin & Jo6,12/13/2016,Met with staff,5 minute meeting with staff. Anticipate quick explanation and signature. Dropped off packet to Liz who said she'd read it and to come back later for signature. Went back later and Sen. Hayward walked in and said she's still thinking about it. ,2 - Not Confirmed,OR
Chuck Riley,Jo6,12/13/2016,Met Legislator,"Met with Sen. Riley. He doesn't think this bill will make it to a convention, saying he thinks from the 14th state on (1st Republican-controlled Gov. and Leg.) it will die. He did say that he and his wife will take me to dinner when the first red state signs on. I told him I'd hold him to that. He also said that the way to approach Sen. Courtney is bi-partisan, that when he (Riley) wanted start a particular committee he found a Republican senator to co-chair and the two of them went to Sen. Courtney's office together, and that's how that committee got started.",1 - Supportive,OR
Sen. Dembrow,Lisa Sobomehin,12/20/2016,Met Legislator,Met along with David Muret. David will log the more extensive notes. As expected Sen. Dembrow voiced the concerns about the limited convention. He also asked if the language was the same as last year and if it was the same in all the states we are counting. He did not give us a solid commitment to sign but he is committed to the cause.,2 - Not Confirmed,OR
Alan DeBoer,Phil Guidotti,12/21/2016,Met Legislator,"I met with Senator Alan DeBoer along with Derek Scanlon. He will likely enter notes as well. Let's start with paraphrased quotes:
""We should simply ban corporate and union money from elections entirely, easy as that""
""Unions ARE corporations. They are a form of corporation. Union members have no choice in how the union contributes to campaigns.""
Other points:
1) He wants to focus on state and local level solutions. He did admit that he has a responsibility to reforming the federal government, but really focused on the local level. When running for Ashland mayor, he kept to voluntary campaign fundraising limits, while his opponent broke this promise. He also refrained from going negative in his campaign for state senate, while his opponent did not. He is a man of action and integrity, whether others around him are or not.
2) TV viewers shouldn't value advertisements. They should vote on candidates based on their bios (like in the voter's pamphlet). 
3) Salem legislators will bring 3000 bills forward, and the vast majority either don't do anything at all, or don't have a chance at passing (and the legislators know it!). He sees this as frivolous and without merit. Senate Republicans brought forward 18 bills in caucus this month, and none of them actually did anything (his words).
4) When told about our tremendous success in the past in gaining sponsors, he said they shine us on. They sign on knowing we don't have a chance to get through committee. (We don't fully agree with this, but his cynical words have some truth to them for sure).
5) He implied that our bill is another that doesn't really do anything, just calls for more talk. He really values more direct action. He really prefers local and state level reforms. We brought up the Montana decision to enact campaign finance reform that was struck down by the Supreme Court. He took notes on this. We also put this point in with a link to a WSJ article about this event in a follow up email. He must understand that all state level reforms will be subject to reversal at any time until we have an amendment.
6) He brought up Move to Amend. He was put off by how MtA flooded him with calls to push the anti-corporate campaign finance agenda. We did and continue to separate our group and our bill from these partisan agendas. He accepted this fact. He sees that we are not trying to disarm corporations and Republicans only to bolster unions and Demcrats. He sees MtA as a union front group. He sees us as professional citizen volunteer advocates looking for reform that benefits all Americans, Republican and Democrat alike. We must continue to earn this distinction.
In general, Senator DeBoer is quietly an issue supporter. It's important to him, even though it's not his top priority. He is learning about our bill and the Article V Process. Doubt he'd vote no, but unlikely to sponsor any time soon. We need to carefully and strategically keep working to advocate with him.",2 - Not Confirmed,OR
